event_id,id,seg_id,start_time,end_time,duration_hours,centroid_lon,centroid_lat,n_points,dbscan_label,is_noise,site_id
0,Crane36_KN6082,Crane36_KN6082__3,2018-07-19 07:00:00+00:00,2018-08-07 19:00:00+00:00,468.0,45.3354558933469,49.09527886829242,79,0,False,0
1,Crane36_KN6082,Crane36_KN6082__3,2018-08-13 13:00:00+00:00,2018-08-30 13:00:00+00:00,408.0,42.88519495690895,46.458805900389876,69,1,False,1
2,Crane36_KN6082,Crane36_KN6082__3,2018-08-30 19:00:00+00:00,2018-09-07 13:00:00+00:00,186.0,42.94434579958222,46.49415723322758,32,1,False,1
3,Crane36_KN6082,Crane36_KN6082__4,2018-10-10 06:00:00+00:00,2018-10-13 00:00:00+00:00,66.0,33.446061249399285,15.506096477044911,12,2,False,2
4,Crane36_KN6082,Crane36_KN6082__4,2018-10-13 06:00:00+00:00,2018-10-19 00:00:00+00:00,138.0,33.46012184379665,15.48886633139172,24,2,False,2
5,Crane36_KN6082,Crane36_KN6082__4,2018-10-19 06:00:00+00:00,2018-10-30 00:00:00+00:00,258.0,33.448684271005476,15.485041081791183,44,2,False,2
6,Crane36_KN6082,Crane36_KN6082__4,2018-10-30 06:00:00+00:00,2018-11-21 12:00:00+00:00,534.0,33.43641881664386,15.479038286726116,90,2,False,2
7,Crane36_KN6082,Crane36_KN6082__4,2018-11-24 12:00:00+00:00,2018-12-01 00:00:00+00:00,156.0,33.43323428110338,15.477288328571941,27,2,False,2
8,Crane36_KN6082,Crane36_KN6082__4,2018-12-01 18:00:00+00:00,2018-12-21 18:00:00+00:00,480.0,33.428204878593995,15.466250405673065,81,2,False,2
9,Crane36_KN6082,Crane36_KN6082__4,2018-12-27 12:00:00+00:00,2019-01-07 00:00:00+00:00,252.0,33.42507547462019,15.47000263678308,43,2,False,2
10,Crane36_KN6082,Crane36_KN6082__4,2019-01-09 00:00:00+00:00,2019-01-16 00:00:00+00:00,168.0,33.42608922355309,15.47181441862428,29,2,False,2
